X.ID,MIG_STAT,X.STATEID,X.DISTID,X.PSUID,X.HHID,X.HHSPLITID,X.NHNR,X.NR0,X.NR2,X.NR6,X.NR7,X.NR8,X.NR9,X.NR10,X.NR11,X.NR12,X.NR13A,X.NR13B,NNR,NR0,NR2,NR6,NR7,NR8,NR9,NR10,NR11,NR12,NR13A,NR13B
"1,2,1,170,1",1,(01) Jammu & Kashmir 01,2,1,170,1,1,50,1,38,4,1,3,11,90,2,1500,NA,,,,,,,,,,,,
"1,12,1,120,1",1,(01) Jammu & Kashmir 01,12,1,120,1,1,50,6,27,0,1,4,10,59,2,2400,NA,,,,,,,,,,,,
"1,12,1,180,1",1,(01) Jammu & Kashmir 01,12,1,180,1,1,50,9,30,0,2,3,10,57,2,20000,NA,,,,,,,,,,,,
"1,12,4,30,1",3,(01) Jammu & Kashmir 01,12,4,30,1,1,50,7,30,0,3,4,9,98,2,20000,NA,1,50,3,42,1,3,NA,0,(098) Drivers 98,2,130000,NA
"1,12,4,140,1",3,(01) Jammu & Kashmir 01,12,4,140,1,1,50,4,36,0,1,2,9,57,2,8000,NA,1,50,3,40,1,2,3,10,(057) Police 57,2,50000,NA
"1,13,1,180,1",1,(01) Jammu & Kashmir 01,13,1,180,1,1,50,2,48,0,2,1,12,57,2,48000,NA,,,,,,,,,,,,
"1,13,1,NA,NA",1,(01) Jammu & Kashmir 01,13,1,NA,NA,1,50,6,30,0,2,3,12,57,1,NA,24000,,,,,,,,,,,,
"1,13,12,10,1",1,(01) Jammu & Kashmir 01,13,12,10,1,1,50,2,34,0,2,3,10,57,2,4000,NA,,,,,,,,,,,,
"1,12,1,160,1",2,(01) Jammu & Kashmir 01,12,1,160,1,,,,,,,,,,,,,1,50,1,45,1,1,3,10,(035) Clerical nec 35,2,120000,NA
"1,12,1,180,2",2,(01) Jammu & Kashmir 01,12,1,180,2,,,,,,,,,,,,,1,50,3,40,1,2,2,10,(057) Police 57,2,150000,NA
"1,12,3,60,1",2,(01) Jammu & Kashmir 01,12,3,60,1,,,,,,,,,,,,,2,50,3,32,1,1,2,10,(030) Clerical supe 30,4,NA,NA
"1,12,3,120,1",2,(01) Jammu & Kashmir 01,12,3,120,1,,,,,,,,,,,,,2,50,3,34,1,2,2,12,(057) Police 57,2,50000,NA
"1,12,3,150,1",2,(01) Jammu & Kashmir 01,12,3,150,1,,,,,,,,,,,,,3,50,9,30,1,2,3,12,(057) Police 57,2,20000,NA
"1,12,3,170,1",2,(01) Jammu & Kashmir 01,12,3,170,1,,,,,,,,,,,,,2,50,2,45,1,3,NA,0,(061) Cultivators 61,2,40000,NA
"1,12,3,180,1",2,(01) Jammu & Kashmir 01,12,3,180,1,,,,,,,,,,,,,1,50,2,32,1,1,3,12,(057) Police 57,2,80000,NA
"1,12,4,10,1",2,(01) Jammu & Kashmir 01,12,4,10,1,,,,,,,,,,,,,2,50,6,26,1,3,NA,8,(055) Launderers 55,2,40000,NA
"1,12,4,20,1",2,(01) Jammu & Kashmir 01,12,4,20,1,,,,,,,,,,,,,2,50,2,30,1,3,NA,0,(040) Shopkeepers 40,2,72000,NA
"1,12,4,20,2",2,(01) Jammu & Kashmir 01,12,4,20,2,,,,,,,,,,,,,1,50,1,35,1,3,NA,6,(098) Drivers 98,2,90000,NA
"1,12,4,30,2",2,(01) Jammu & Kashmir 01,12,4,30,2,,,,,,,,,,,,,1,50,1,45,1,1,3,5,(084) Assemblers 84,2,90000,NA
"1,12,4,120,2",2,(01) Jammu & Kashmir 01,12,4,120,2,,,,,,,,,,,,,1,50,1,57,1,1,1,0,(095) Construction 95,4,NA,NA
"1,12,4,180,2",2,(01) Jammu & Kashmir 01,12,4,180,2,,,,,,,,,,,,,2,50,1,32,1,3,NA,9,(064) Plantation lab 64,2,60000,NA
"1,12,4,190,1",2,(01) Jammu & Kashmir 01,12,4,190,1,,,,,,,,,,,,,1,50,1,45,1,1,3,12,(057) Police 57,2,1.00E+05,NA
"1,12,4,190,2",2,(01) Jammu & Kashmir 01,12,4,190,2,,,,,,,,,,,,,2,50,1,30,1,1,1,8,(057) Police 57,2,80000,NA
"1,12,6,30,1",2,(01) Jammu & Kashmir 01,12,6,30,1,,,,,,,,,,,,,2,50,5,40,1,1,3,12,"(043) Sales, shop 43",2,36000,NA
"1,12,6,50,1",2,(01) Jammu & Kashmir 01,12,6,50,1,,,,,,,,,,,,,1,50,1,42,1,2,3,0,(097) Loaders 97,2,24000,NA
"1,12,6,80,1",2,(01) Jammu & Kashmir 01,12,6,80,1,,,,,,,,,,,,,2,50,1,32,1,2,3,12,(057) Police 57,2,96000,NA
"1,12,6,100,1",2,(01) Jammu & Kashmir 01,12,6,100,1,,,,,,,,,,,,,2,50,1,52,1,2,3,8,(097) Loaders 97,2,24000,NA
"1,12,6,100,1",2,(01) Jammu & Kashmir 01,12,6,100,1,,,,,,,,,,,,,2,51,2,32,1,2,3,11,(099) Labour nec 99,2,20000,NA
"1,12,6,200,1",2,(01) Jammu & Kashmir 01,12,6,200,1,,,,,,,,,,,,,2,50,1,35,1,2,3,8,(075) Textile 75,2,35000,NA
"1,12,6,200,1",2,(01) Jammu & Kashmir 01,12,6,200,1,,,,,,,,,,,,,2,51,5,28,1,2,3,8,(075) Textile 75,2,35000,NA
"1,13,1,150,1",2,(01) Jammu & Kashmir 01,13,1,150,1,,,,,,,,,,,,,1,50,2,42,1,2,3,12,(057) Police 57,2,150000,NA
"1,13,1,190,1",2,(01) Jammu & Kashmir 01,13,1,190,1,,,,,,,,,,,,,1,50,7,34,1,2,2,12,(057) Police 57,2,25000,NA
"1,13,1,200,1",2,(01) Jammu & Kashmir 01,13,1,200,1,,,,,,,,,,,,,1,50,1,45,1,2,2,0,(026) Mgr service 26,2,50000,NA
"1,13,2,20,1",2,(01) Jammu & Kashmir 01,13,2,20,1,,,,,,,,,,,,,2,50,3,35,1,1,3,10,(057) Police 57,2,60000,NA
"1,13,2,60,1",2,(01) Jammu & Kashmir 01,13,2,60,1,,,,,,,,,,,,,2,50,1,NA,1,1,3,10,(109) No occupation X9,2,96000,NA
"1,13,2,130,1",2,(01) Jammu & Kashmir 01,13,2,130,1,,,,,,,,,,,,,2,50,3,32,1,1,3,10,(109) No occupation X9,2,60000,NA
"1,13,2,130,1",2,(01) Jammu & Kashmir 01,13,2,130,1,,,,,,,,,,,,,2,51,4,28,1,1,3,10,(109) No occupation X9,2,48000,NA
"1,13,2,140,1",2,(01) Jammu & Kashmir 01,13,2,140,1,,,,,,,,,,,,,1,50,4,32,1,1,2,12,(057) Police 57,2,96000,NA
